year,stock,capture,taxa,effort
1951,Arripis trutta,2000,Arripis trutta,165533366.6
1951,Epinephelinae,300,Epinephelinae,165533366.6
1951,Gymnocephalus cernua,500,Gymnocephalus cernua,165533366.6
1951,Lates calcarifer,300,Lates calcarifer,165533366.6
1951,Leiognathidae,500,Leiognathidae,165533366.6
1951,Lutjanidae,400,Lutjanidae,165533366.6
1951,Pagrus auratus,1000,Pagrus auratus,165533366.6
1951,Platycephalus,400,Platycephalus,165533366.6
1951,Pleuronectiformes,400,Pleuronectiformes,165533366.6
1951,Sillago sihama,800,Sillago sihama,165533366.6
1952,Arripis trutta,2500,Arripis trutta,162564880.2
1952,Epinephelinae,200,Epinephelinae,162564880.2
1952,Gymnocephalus cernua,500,Gymnocephalus cernua,162564880.2
1952,Lates calcarifer,300,Lates calcarifer,162564880.2
1952,Leiognathidae,400,Leiognathidae,162564880.2
1952,Lutjanidae,500,Lutjanidae,162564880.2
1952,Pagrus auratus,1000,Pagrus auratus,162564880.2
1952,Platycephalus,500,Platycephalus,162564880.2
1952,Pleuronectiformes,700,Pleuronectiformes,162564880.2
1952,Sillago sihama,1000,Sillago sihama,162564880.2
1953,Arripis trutta,3000,Arripis trutta,199857053.1
1953,Epinephelinae,200,Epinephelinae,199857053.1
1953,Gymnocephalus cernua,600,Gymnocephalus cernua,199857053.1
1953,Lates calcarifer,300,Lates calcarifer,199857053.1
1953,Leiognathidae,300,Leiognathidae,199857053.1
1953,Lutjanidae,500,Lutjanidae,199857053.1
1953,Pagrus auratus,1000,Pagrus auratus,199857053.1
1953,Platycephalus,700,Platycephalus,199857053.1
1953,Pleuronectiformes,500,Pleuronectiformes,199857053.1
1953,Sillago sihama,800,Sillago sihama,199857053.1
1954,Arripis trutta,4000,Arripis trutta,206451678.9
1954,Epinephelinae,200,Epinephelinae,206451678.9
1954,Gymnocephalus cernua,600,Gymnocephalus cernua,206451678.9
1954,Lates calcarifer,300,Lates calcarifer,206451678.9
1954,Leiognathidae,300,Leiognathidae,206451678.9
1954,Lutjanidae,500,Lutjanidae,206451678.9
1954,Pagrus auratus,1000,Pagrus auratus,206451678.9
1954,Platycephalus,500,Platycephalus,206451678.9
1954,Pleuronectiformes,300,Pleuronectiformes,206451678.9
1954,Sillago sihama,800,Sillago sihama,206451678.9
1955,Arripis trutta,4000,Arripis trutta,182172825.9
1955,Epinephelinae,200,Epinephelinae,182172825.9
1955,Gymnocephalus cernua,600,Gymnocephalus cernua,182172825.9
1955,Lates calcarifer,400,Lates calcarifer,182172825.9
1955,Leiognathidae,300,Leiognathidae,182172825.9
1955,Lutjanidae,500,Lutjanidae,182172825.9
1955,Pagrus auratus,900,Pagrus auratus,182172825.9
1955,Platycephalus,500,Platycephalus,182172825.9
1955,Pleuronectiformes,600,Pleuronectiformes,182172825.9
1955,Sillago sihama,900,Sillago sihama,182172825.9
1956,Arripis trutta,4000,Arripis trutta,192835019.2
1956,Epinephelinae,200,Epinephelinae,192835019.2
1956,Gymnocephalus cernua,500,Gymnocephalus cernua,192835019.2
1956,Lates calcarifer,400,Lates calcarifer,192835019.2
1956,Leiognathidae,300,Leiognathidae,192835019.2
1956,Lutjanidae,500,Lutjanidae,192835019.2
1956,Pagrus auratus,900,Pagrus auratus,192835019.2
1956,Platycephalus,200,Platycephalus,192835019.2
1956,Pleuronectiformes,900,Pleuronectiformes,192835019.2
1956,Sillago sihama,800,Sillago sihama,192835019.2
1957,Arripis trutta,5000,Arripis trutta,256323154.6
1957,Epinephelinae,200,Epinephelinae,256323154.6
1957,Gymnocephalus cernua,800,Gymnocephalus cernua,256323154.6
1957,Lates calcarifer,400,Lates calcarifer,256323154.6
1957,Leiognathidae,300,Leiognathidae,256323154.6
1957,Lutjanidae,500,Lutjanidae,256323154.6
1957,Pagrus auratus,1000,Pagrus auratus,256323154.6
1957,Platycephalus,200,Platycephalus,256323154.6
1957,Pleuronectiformes,400,Pleuronectiformes,256323154.6
1957,Sillago sihama,800,Sillago sihama,256323154.6
1958,Arripis trutta,4000,Arripis trutta,229344736.7
1958,Epinephelinae,300,Epinephelinae,229344736.7
1958,Gymnocephalus cernua,700,Gymnocephalus cernua,229344736.7
1958,Lates calcarifer,400,Lates calcarifer,229344736.7
1958,Leiognathidae,400,Leiognathidae,229344736.7
1958,Lutjanidae,500,Lutjanidae,229344736.7
1958,Pagrus auratus,1000,Pagrus auratus,229344736.7
1958,Platycephalus,300,Platycephalus,229344736.7
1958,Pleuronectiformes,1300,Pleuronectiformes,229344736.7
1958,Sillago sihama,900,Sillago sihama,229344736.7
1959,Arripis trutta,4000,Arripis trutta,312107996.7
1959,Epinephelinae,300,Epinephelinae,312107996.7
1959,Gymnocephalus cernua,800,Gymnocephalus cernua,312107996.7
1959,Lates calcarifer,300,Lates calcarifer,312107996.7
1959,Leiognathidae,500,Leiognathidae,312107996.7
1959,Lutjanidae,500,Lutjanidae,312107996.7
1959,Pagrus auratus,1000,Pagrus auratus,312107996.7
1959,Platycephalus,300,Platycephalus,312107996.7
1959,Pleuronectiformes,1000,Pleuronectiformes,312107996.7
1959,Sillago sihama,900,Sillago sihama,312107996.7
1960,Arripis trutta,3000,Arripis trutta,288793467.6
1960,Epinephelinae,500,Epinephelinae,288793467.6
1960,Gymnocephalus cernua,700,Gymnocephalus cernua,288793467.6
1960,Lates calcarifer,400,Lates calcarifer,288793467.6
1960,Leiognathidae,400,Leiognathidae,288793467.6
1960,Lutjanidae,500,Lutjanidae,288793467.6
1960,Pagrus auratus,1000,Pagrus auratus,288793467.6
1960,Platycephalus,300,Platycephalus,288793467.6
1960,Pleuronectiformes,1400,Pleuronectiformes,288793467.6
1960,Sillago sihama,1000,Sillago sihama,288793467.6
1961,Arripis trutta,2600,Arripis trutta,270805835.7
1961,Epinephelinae,500,Epinephelinae,270805835.7
1961,Gymnocephalus cernua,600,Gymnocephalus cernua,270805835.7
1961,Lates calcarifer,500,Lates calcarifer,270805835.7
1961,Leiognathidae,400,Leiognathidae,270805835.7
1961,Lutjanidae,700,Lutjanidae,270805835.7
1961,Pagrus auratus,1000,Pagrus auratus,270805835.7
1961,Platycephalus,200,Platycephalus,270805835.7
1961,Pleuronectiformes,800,Pleuronectiformes,270805835.7
1961,Sillago sihama,1000,Sillago sihama,270805835.7
1962,Arripis trutta,4600,Arripis trutta,394752932.7
1962,Epinephelinae,800,Epinephelinae,394752932.7
1962,Gymnocephalus cernua,500,Gymnocephalus cernua,394752932.7
1962,Lates calcarifer,500,Lates calcarifer,394752932.7
1962,Leiognathidae,400,Leiognathidae,394752932.7
1962,Lutjanidae,700,Lutjanidae,394752932.7
1962,Pagrus auratus,1000,Pagrus auratus,394752932.7
1962,Platycephalus,300,Platycephalus,394752932.7
1962,Pleuronectiformes,1700,Pleuronectiformes,394752932.7
1962,Sillago sihama,1100,Sillago sihama,394752932.7
1963,Arripis trutta,2600,Arripis trutta,368578087.1
1963,Epinephelinae,800,Epinephelinae,368578087.1
1963,Gymnocephalus cernua,600,Gymnocephalus cernua,368578087.1
1963,Lates calcarifer,500,Lates calcarifer,368578087.1
1963,Leiognathidae,500,Leiognathidae,368578087.1
1963,Lutjanidae,700,Lutjanidae,368578087.1
1963,Pagrus auratus,1000,Pagrus auratus,368578087.1
1963,Platycephalus,700,Platycephalus,368578087.1
1963,Pleuronectiformes,1000,Pleuronectiformes,368578087.1
1963,Sillago sihama,1200,Sillago sihama,368578087.1
1964,Arripis trutta,3500,Arripis trutta,390589700.7
1964,Epinephelinae,900,Epinephelinae,390589700.7
1964,Gymnocephalus cernua,500,Gymnocephalus cernua,390589700.7
1964,Lates calcarifer,500,Lates calcarifer,390589700.7
1964,Leiognathidae,700,Leiognathidae,390589700.7
1964,Lutjanidae,800,Lutjanidae,390589700.7
1964,Pagrus auratus,1000,Pagrus auratus,390589700.7
1964,Platycephalus,600,Platycephalus,390589700.7
1964,Pleuronectiformes,1400,Pleuronectiformes,390589700.7
1964,Sillago sihama,1100,Sillago sihama,390589700.7
1965,Arripis trutta,2900,Arripis trutta,394530929.1
1965,Epinephelinae,900,Epinephelinae,394530929.1
1965,Gymnocephalus cernua,700,Gymnocephalus cernua,394530929.1
1965,Lates calcarifer,600,Lates calcarifer,394530929.1
1965,Leiognathidae,700,Leiognathidae,394530929.1
1965,Lutjanidae,900,Lutjanidae,394530929.1
1965,Pagrus auratus,1000,Pagrus auratus,394530929.1
1965,Platycephalus,700,Platycephalus,394530929.1
1965,Pleuronectiformes,1100,Pleuronectiformes,394530929.1
1965,Sillago sihama,1200,Sillago sihama,394530929.1
1966,Arripis trutta,4600,Arripis trutta,454190694.1
1966,Epinephelinae,1100,Epinephelinae,454190694.1
1966,Gymnocephalus cernua,700,Gymnocephalus cernua,454190694.1
1966,Lates calcarifer,600,Lates calcarifer,454190694.1
1966,Leiognathidae,900,Leiognathidae,454190694.1
1966,Lutjanidae,1000,Lutjanidae,454190694.1
1966,Pagrus auratus,700,Pagrus auratus,454190694.1
1966,Platycephalus,600,Platycephalus,454190694.1
1966,Pleuronectiformes,1200,Pleuronectiformes,454190694.1
1966,Sillago sihama,1200,Sillago sihama,454190694.1
1967,Arripis trutta,6200,Arripis trutta,554250010.2
1967,Epinephelinae,1300,Epinephelinae,554250010.2
1967,Gymnocephalus cernua,800,Gymnocephalus cernua,554250010.2
1967,Lates calcarifer,600,Lates calcarifer,554250010.2
1967,Leiognathidae,1000,Leiognathidae,554250010.2
1967,Lutjanidae,900,Lutjanidae,554250010.2
1967,Pagrus auratus,900,Pagrus auratus,554250010.2
1967,Platycephalus,700,Platycephalus,554250010.2
1967,Pleuronectiformes,1400,Pleuronectiformes,554250010.2
1967,Sillago sihama,1200,Sillago sihama,554250010.2
1968,Arripis trutta,6800,Arripis trutta,710893106.9
1968,Epinephelinae,1100,Epinephelinae,710893106.9
1968,Gymnocephalus cernua,600,Gymnocephalus cernua,710893106.9
1968,Lates calcarifer,600,Lates calcarifer,710893106.9
1968,Leiognathidae,1100,Leiognathidae,710893106.9
1968,Lutjanidae,1000,Lutjanidae,710893106.9
1968,Pagrus auratus,800,Pagrus auratus,710893106.9
1968,Platycephalus,900,Platycephalus,710893106.9
1968,Pleuronectiformes,1500,Pleuronectiformes,710893106.9
1968,Sillago sihama,1300,Sillago sihama,710893106.9
1969,Arripis trutta,3900,Arripis trutta,629011933.9
1969,Epinephelinae,900,Epinephelinae,629011933.9
1969,Gymnocephalus cernua,800,Gymnocephalus cernua,629011933.9
1969,Lates calcarifer,700,Lates calcarifer,629011933.9
1969,Leiognathidae,700,Leiognathidae,629011933.9
1969,Lutjanidae,1100,Lutjanidae,629011933.9
1969,Pagrus auratus,700,Pagrus auratus,629011933.9
1969,Platycephalus,1000,Platycephalus,629011933.9
1969,Pleuronectiformes,1000,Pleuronectiformes,629011933.9
