stock,taxa,variable,year,mean,sd,lower,upper,status
Arripis trutta,Arripis trutta,b_div_bmsy,2019,1.56438714143274e-10,1.54304766473405,1.23138835179628e-10,1.61261237364818e-10,Overfished
Epinephelinae,Epinephelinae,b_div_bmsy,2019,8.41145849722899e-06,13.0739175477453,1.7260391536923e-12,2.06582947797817,Overfished
Gymnocephalus cernua,Gymnocephalus cernua,b_div_bmsy,2019,5.32962781912741e-05,9.82382280071853,1.26146389477006e-10,0.350557127223395,Overfished
Lates calcarifer,Lates calcarifer,b_div_bmsy,2019,1.41530613962637,0.479985632463007,0.632066979980015,2.81170269744583,Underfished
Leiognathidae,Leiognathidae,b_div_bmsy,2019,2.57524846421735e-07,12.6885963691126,2.37951238265134e-12,6.13118763326127,Overfished
Lutjanidae,Lutjanidae,b_div_bmsy,2019,1.65362461137272,0.356756040505347,0.899786108656666,2.79426425805529,Underfished
Pagrus auratus,Pagrus auratus,b_div_bmsy,2019,0.182202009427622,0.870369722343848,0.0634739545744954,0.483146608646209,Overfished
Platycephalus,Platycephalus,b_div_bmsy,2019,1.13508738784675,1.32935405169759,0.482041617840341,2.62014302513886,Fully fished
Pleuronectiformes,Pleuronectiformes,b_div_bmsy,2019,1.63399185975488,0.365434718072252,0.889357791587484,2.79847171300265,Underfished
Sillago sihama,Sillago sihama,b_div_bmsy,2019,1.25740534125033,0.365664091614172,0.678392029354832,2.12733279145905,Underfished
